Player,Team,Pos,RushingAtt,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FL,PassingAtt,PassingCmp,PassingYds,PassingTD,TotalInt,TotalSacks,Int,FumblesRecovered,FumblesForced,DefensiveTDs,SafetysForced,PointsAllowed,YardsAgainst,FieldGoalsMade,FieldGoalsAttempted,ExtraPointsMade
Tee Higgins,CIN,WR,0.2,0.8,0,85.3,"1,195.20",7.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.J. Brown,PHI,WR,0.8,7.6,0,77.6,"1,134.60",8.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Williams,LAC,WR,0,0.2,0,74.6,"1,098.10",7.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Pittman Jr.,IND,WR,3.7,29.1,0,91.1,"1,126.70",6.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJ Moore,CAR,WR,5.6,37.7,0.1,87,"1,146.70",5.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandin Cooks,HOU,WR,2.6,18.5,0.1,92.7,"1,119.80",6.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keenan Allen,LAC,WR,0.4,1.8,0,99.8,"1,089.60",6.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Davis,BUF,WR,0,0,0,61.5,960.9,8.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK Metcalf,SEA,WR,0.4,2.2,0,78.5,"1,057.20",6.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diontae Johnson,PIT,WR,4.2,31.7,0.1,94.8,"1,045.60",6.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terry McLaurin,WAS,WR,0.4,4.6,0,78.5,"1,071.20",5.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Courtland Sutton,DEN,WR,0.2,0.6,0,70.8,"1,004.20",6.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Waddle,MIA,WR,3.3,19.1,0.3,89.5,999.1,6.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Thomas,NO,WR,0.2,-0.8,0,85.5,995.1,6.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amon-Ra St. Brown,DET,WR,6.6,46.6,0.4,87.6,951.3,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerry Jeudy,DEN,WR,1.2,5.5,0,75.3,"1,024.60",5.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darnell Mooney,CHI,WR,5,26.1,0.2,77.9,"1,029.50",4.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Lockett,SEA,WR,2.1,11.8,0.1,74.2,995.7,5.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Godwin,TB,WR,2.2,12,0.3,81,940.9,6.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elijah Moore,NYJ,WR,6.2,50.8,0.5,70,904.4,5.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquise Brown,ARI,WR,2,12.9,0.1,75,963.3,5.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Thielen,MIN,WR,0.4,1.2,0,74,838.5,7.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amari Cooper,CLE,WR,0.2,0.6,0,75.2,945.1,5.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JuJu Smith-Schuster,KC,WR,2.3,11.5,0.5,78.5,854,6.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Woods,TEN,WR,8.9,61.2,0.7,73.4,875,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen Robinson II,LAR,WR,0,0,0,75.6,917.1,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Renfrow,LV,WR,1.2,5,0,82.9,884.7,6.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashod Bateman,BAL,WR,0.2,2.2,0,73.5,931.9,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeVonta Smith,PHI,WR,0,0,0,62.8,863.3,5.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase Claypool,PIT,WR,8.7,52.4,0.2,63.8,852.3,4.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Aiyuk,SF,WR,2.9,17.4,0,61.7,837.9,5.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen Lazard,GB,WR,1.4,12.3,0,56.4,760.6,6.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Kirk,JAC,WR,0.8,5.8,0,71.3,873.3,4.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drake London,ATL,WR,0.8,4.2,0,65.5,863.7,4.7,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treylon Burks,TEN,WR,4,25.8,0.3,55.5,780.5,4.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mecole Hardman,KC,WR,8.4,58.9,0.4,58.3,734.5,4.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeAndre Hopkins,ARI,WR,0,0.4,0,58.9,748,5.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny Golladay,NYG,WR,0,0,0,56.3,796.4,4.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kadarius Toney,NYG,WR,8.8,59.6,0.1,65.8,761.7,3.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquez Valdes-Scantling,KC,WR,0.6,3.2,0,46.1,749.6,4.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakobi Meyers,NE,WR,0.4,2.8,0,72.9,822.3,3.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeVante Parker,NE,WR,0,0,0,56.6,757.1,4.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Gage,TB,WR,0.2,0.8,0,64.1,727.8,5.2,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Boyd,CIN,WR,2.7,19,0,64.1,740,4.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Gallup,DAL,WR,2,14.2,0,49.7,701,4.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarvis Landry,NO,WR,3,16.5,0.3,59.3,713.4,4.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Olave,NO,WR,0.4,2.2,0,50.3,718.2,4.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robbie Anderson,CAR,WR,3.7,24.6,0.1,57.7,681.2,4.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garrett Wilson,NYJ,WR,1.8,13.2,0,53.7,731.9,4.1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marvin Jones Jr.,JAC,WR,0,0,0,56,675.4,4.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJ Chark Jr.,DET,WR,0.2,1.6,0,46.7,659.1,4.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Davis,NYJ,WR,0,0,0,48,675.4,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jahan Dotson,WAS,WR,0.4,2.2,0,51.3,679.2,3.7,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Van Jefferson,LAR,WR,1.9,15,0,45.4,623.2,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Tolbert,DAL,WR,0.4,2.4,0,48.2,632.9,4.3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Pickens,PIT,WR,0.4,1.8,0,53.8,671.2,3.6,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skyy Moore,KC,WR,1.2,7.8,0,45.8,616.5,4.3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nico Collins,HOU,WR,0,0,0,50.1,659.3,3.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K.J. Osborn,MIN,WR,0.2,2,0,45.7,581.7,4.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donovan Peoples-Jones,CLE,WR,0,0,0,42.9,643.5,3.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Samuel,WAS,WR,16.6,91.8,0.8,44.1,499.4,3.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julio Jones,TB,WR,0,0,0,46.1,619.3,3.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rondale Moore,ARI,WR,17.3,99.8,0.6,53.8,528,2.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parris Campbell,IND,WR,0.5,3.3,0,48.3,588.3,3.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua Palmer,LAC,WR,0,0,0,46.9,550.8,4.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randall Cobb,GB,WR,0.8,3.2,0,41.6,532.3,4.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alec Pierce,IND,WR,0,0,0,40.6,552.6,3.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Westbrook-Ikhine,TEN,WR,0,0,0,42.2,541.4,3.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kendrick Bourne,NE,WR,6.4,48.2,0.1,39,495.3,3.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterling Shepard,NYG,WR,1,4.2,0,53.8,555.5,2.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KJ Hamler,DEN,WR,3.1,20.6,0,39.4,509.5,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Watson,GB,WR,1.5,9.1,0,35.2,475.1,3.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.J. Green,ARI,WR,0,0,0,36.4,523.5,2.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan Edwards,ATL,WR,0.2,1.4,0,35.8,522.7,2.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jameson Williams,DET,WR,0.4,2.2,0,36.3,500,2.9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devin Duvernay,BAL,WR,4.9,34,0.1,41.2,467.8,2.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zay Jones,JAC,WR,0.4,0.6,0,41.7,488.9,2.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Byron Pringle,CHI,WR,0,0,0,37.3,469.8,2.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedrick Wilson Jr.,MIA,WR,0.6,1.6,0,38.2,457.5,3.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamison Crowder,BUF,WR,2.2,14,0.2,41.2,430,2.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laviska Shenault Jr.,JAC,WR,10.5,52.1,0.3,39.2,410.7,2.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sammy Watkins,GB,WR,0.6,3.5,0,33.7,448,2.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Washington,DAL,WR,0.4,2.4,0,26.9,396.7,3.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romeo Doubs,GB,WR,0.4,2.4,0,31.8,423.6,2.9,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wan'Dale Robinson,NYG,WR,5.7,33.3,0.1,36.4,410.2,2.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Conley,HOU,WR,0,0,0,33.8,430.2,2.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson Agholor,NE,WR,1.5,7.5,0,29.6,406.2,2.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Bell,CLE,WR,1.2,8.8,0,33.3,413.3,2.3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braxton Berrios,NYJ,WR,5.2,31.4,0.9,35.2,354.7,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah McKenzie,BUF,WR,6.8,40.2,0.3,35,349.5,2.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olamide Zaccheaus,ATL,WR,0.4,1.8,0,29.6,380.4,2.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrace Marshall Jr.,CAR,WR,0,0,0,29.8,369.5,2.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Velus Jones Jr.,CHI,WR,1,6.3,0,28.2,361.6,2.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jauan Jennings,SF,WR,0,0,0,28.5,323.6,2.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demarcus Robinson,BAL,WR,0,0,0,29,342.7,2.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quez Watkins,PHI,WR,0,0,0,25.6,355.1,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Guyton,LAC,WR,4.4,25.9,0.1,21.5,312.3,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dee Eskridge,SEA,WR,4.3,29.1,0.1,24.2,311.7,1.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keelan Cole Sr.,LV,WR,0,0.2,0,22.7,312.9,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freddie Swain,SEA,WR,0.5,3,0,25.3,303.1,1.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amari Rodgers,GB,WR,1.5,9.4,0,23.5,305.5,1.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Proche II,BAL,WR,0,0,0,24.1,293.4,1.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Reynolds,DET,WR,0,0,0,21.5,291.8,1.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquez Callaway,NO,WR,1.8,10.6,0.1,17.7,260.7,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darius Slayton,NYG,WR,0.3,-2.5,0,19.8,268.8,1.5,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phillip Dorsett II,HOU,WR,0.5,3.3,0,20.6,251.3,1.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashard Higgins,CAR,WR,0.3,2.7,0,17.8,240.4,1.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laquon Treadwell,JAC,WR,0,0,0,15.9,211.6,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tylan Wallace,BAL,WR,0,0,0,15.8,205.9,1.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylon Moore,NYG,WR,0,0,0,16.8,202.8,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Schwartz,CLE,WR,1.1,6.8,0,14.8,196.4,1.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quintez Cephus,DET,WR,0,0,0,13.2,178.8,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Skowronek,LAR,WR,0,0,0,15.1,185.9,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keke Coutee,IND,WR,0,0,0,15.1,194.3,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamal Agnew,JAC,WR,8.6,56.3,0.4,12.3,138.8,0.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montrell Washington,DEN,WR,0,0,0,13.7,189.3,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noah Brown,DAL,WR,0,0,0,14.3,174.7,1.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equanimeous St. Brown,CHI,WR,0,0,0,13.2,180.7,0.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dyami Brown,WAS,WR,0,0,0,11.7,180.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Moore,HOU,WR,0,0,0,16.2,175.7,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dez Fitzpatrick,TEN,WR,0,0,0,12.8,170.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ty Montgomery,NE,WR,9.7,56.9,0.5,11,103.9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalif Raymond,DET,WR,0.7,4.2,0,12.6,154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Pascal,PHI,WR,0.3,1.8,0,11.7,148,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damiere Byrd,ATL,WR,0,0,0,14.1,167.4,0.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simi Fehoko,DAL,WR,0,0,0,12,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calvin Austin III,PIT,WR,0,0,0,14.4,168.7,0.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tutu Atwell,LAR,WR,0,0,0,11,137.8,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray-Ray McCloud,SF,WR,0,0,0,12.4,142.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ihmir Smith-Marsette,MIN,WR,0,0,0,11.4,141.6,0.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breshad Perriman,TB,WR,0,0,0,9.3,133,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antoine Wesley,ARI,WR,0,0,0,11,135.6,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cody Hollister,TEN,WR,0,0,0,11.3,133.2,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Sims,WAS,WR,0,0,0,10,139.3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mack Hollins,LV,WR,0.3,0,0,9.1,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erik Ezukanma,MIA,WR,0,0,0,9.2,129.3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Sherfield,MIA,WR,0,0,0,11,130.6,0.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lynn Bowden Jr.,MIA,WR,2.3,14.3,0.1,11.2,116.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deonte Harty,NO,WR,1.3,11,0,8.2,113.5,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ja'Marcus Bradley,CLE,WR,0,0,0,9.9,126.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Philips,TEN,WR,0,0,0,10.5,129.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Zylstra,CAR,WR,0,0,0,10.6,130.6,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kristian Wilkerson,NE,WR,0,0,0,10.1,117.7,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Gray,SF,WR,0,0,0,10.1,121.3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khalil Shakir,BUF,WR,0.7,4,0,9,109,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashton Dulin,IND,WR,1.2,7.5,0.1,8.2,108.1,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Johnson,TB,WR,0,0,0,9.6,109.4,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chester Rogers,HOU,WR,0,0,0,10.8,113.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyquan Thornton,NE,WR,0,0,0,8.7,102.5,0.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juwan Johnson,NO,WR,0,0,0,10.3,97.4,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinity Benson,DET,WR,0,0,0,8.6,100.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richie James Jr.,NYG,WR,0,0,0,8,100.2,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seth Williams,DEN,WR,0,0,0,7.4,87.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samori Toure,GB,WR,0,0,0,6.8,80.6,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juwann Winfree,GB,WR,0,0,0,7.2,83.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KhaDarel Hodge,ATL,WR,0,0,0,6.2,91.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Smith,NYJ,WR,0,0,0,6.7,90.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penny Hart,SEA,WR,0,0,0,8,85.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Preston Williams,MIA,WR,0,0,0,6.7,79.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Reagor,PHI,WR,3.1,17.1,0.1,5.9,62.2,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miles Boykin,PIT,WR,0,0,0,6.5,80.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Johnson,SF,WR,0,0,0,6,73.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N'Keal Harry,CHI,WR,0,0,0,6.6,81.5,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nsimba Webster,CHI,WR,0,0,0,6,77.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kendall Hinton,DEN,WR,0,0,0,5.1,74.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tre'Quan Smith,NO,WR,0,0,0,6.5,70.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.J. Vasher,DAL,WR,0,0,0,5.6,64.9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajae Sharpe,CHI,WR,0,0,0,5.9,71.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Racey McMath,TEN,WR,0,0,0,5.4,70.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Strachan,IND,WR,0,0,0,5.8,68.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Taylor,CIN,WR,0,0,0,6.2,64.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bo Melton,SEA,WR,0,0,0,6,73.4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dezmon Patmon,IND,WR,0,0,0,5.4,63.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Roberts,CAR,WR,0,0,0,4.2,71.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeAndre Carter,LAC,WR,0,0,0,5.4,64.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Ward,PHI,WR,0,0,0,5.6,62.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquise Goodwin,SEA,WR,0,0,0,4.8,67.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javon Wims,CLE,WR,0,0,0,5.9,59.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Sanu Sr.,MIA,WR,0,0,0,5.8,54.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.J. Board,NYG,WR,0,0,0,3.7,55.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Slater,NE,WR,0,0,0,1.9,62.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Thomas,CIN,WR,0,0,0,4.6,55.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrie Cleveland,DEN,WR,0,0,0,3.5,53.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaelon Darden,TB,WR,0,0,0,4,52.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Kumerow,BUF,WR,0,0,0,3.6,44,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stanley Morgan Jr.,CIN,WR,0,0,0,4.5,50.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malik Taylor,GB,WR,0,0,0,3.6,43.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Dortch,ARI,WR,0,0,0,3.6,47.4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bisi Johnson,MIN,WR,0,0,0,4.7,43.9,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquez Stevenson,BUF,WR,0,0,0,3.6,40.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trenton Irwin,CIN,WR,0,0,0,3.5,39.8,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lil'Jordan Humphrey,NE,WR,0,0,0,3.4,42.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Nailor,MIN,WR,0,0,0,3.4,39.9,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malik Turner,SF,WR,0,0,0,3.2,35.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shi Smith,CAR,WR,0,0,0,3.3,40.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
