,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
40,Treylon Burks,TEN,WR,4.0,25.8,0.3,59.6,855.2,5.2,1.2,0.0,0.0,0,0.0,0.0
41,Drake London,ATL,WR,0.8,4.2,0.0,68.4,901.7,4.8,1.2,0.0,0.0,0,0.0,0.0
42,Brandon Aiyuk,SF,WR,2.9,17.4,0.0,61.6,834.1,5.4,0.5,0.0,0.0,0,0.0,0.0
43,Allen Lazard,GB,WR,1.4,12.3,0.0,56.4,760.6,6.6,0.4,0.0,0.0,0,0.0,0.0
44,Christian Kirk,JAC,WR,0.8,5.8,0.0,71.3,873.3,4.6,0.5,0.0,0.0,0,0.0,0.0
45,Mecole Hardman,KC,WR,8.4,58.9,0.4,58.3,734.5,4.7,1.0,0.0,0.0,0,0.0,0.0
46,DeAndre Hopkins,ARI,WR,0.0,0.4,0.0,58.9,748.0,5.5,0.5,0.0,0.0,0,0.0,0.0
47,Kenny Golladay,NYG,WR,0.0,0.0,0.0,56.0,792.0,4.5,0.4,0.0,0.0,0,0.0,0.0
48,Marquez Valdes-Scantling,KC,WR,0.6,3.2,0.0,46.1,749.6,4.9,0.1,0.0,0.0,0,0.0,0.0
49,Kadarius Toney,NYG,WR,8.8,59.6,0.1,65.1,754.8,3.9,0.5,0.0,0.0,0,0.0,0.0
50,Jakobi Meyers,NE,WR,0.4,2.8,0.0,72.9,822.3,3.8,0.5,0.0,0.0,0,0.0,0.0
51,DeVante Parker,NE,WR,0.0,0.0,0.0,56.6,757.1,4.7,0.4,0.0,0.0,0,0.0,0.0
52,Russell Gage,TB,WR,0.2,0.8,0.0,64.1,727.8,5.2,0.9,0.0,0.0,0,0.0,0.0
53,Chris Olave,NO,WR,0.4,2.2,0.0,51.6,741.4,4.8,0.7,0.0,0.0,0,0.0,0.0
54,Tyler Boyd,CIN,WR,2.7,19.0,0.0,64.1,740.0,4.2,0.5,0.0,0.0,0,0.0,0.0
55,Michael Gallup,DAL,WR,2.0,14.2,0.0,49.7,701.0,4.8,0.4,0.0,0.0,0,0.0,0.0
56,Jarvis Landry,NO,WR,3.0,16.5,0.3,59.3,719.3,4.3,0.6,0.0,0.0,0,0.0,0.0
57,Garrett Wilson,NYJ,WR,1.8,13.2,0.0,54.3,745.6,4.2,1.2,0.0,0.0,0,0.0,0.0
58,Jalen Tolbert,DAL,WR,0.4,2.4,0.0,53.7,711.8,4.9,1.2,0.0,0.0,0,0.0,0.0
59,Robbie Anderson,CAR,WR,3.7,24.6,0.1,57.7,681.2,4.7,0.4,0.0,0.0,0,0.0,0.0
60,Skyy Moore,KC,WR,1.2,7.8,0.0,50.6,690.4,4.8,1.2,0.0,0.0,0,0.0,0.0
61,Marvin Jones Jr.,JAC,WR,0.0,0.0,0.0,56.0,675.4,4.8,0.4,0.0,0.0,0,0.0,0.0
62,DJ Chark Jr.,DET,WR,0.2,1.6,0.0,46.7,659.1,4.6,0.1,0.0,0.0,0,0.0,0.0
63,Corey Davis,NYJ,WR,0.0,0.0,0.0,48.0,675.4,4.0,0.5,0.0,0.0,0,0.0,0.0
64,Van Jefferson,LAR,WR,1.9,15.0,0.0,45.4,623.2,4.0,0.1,0.0,0.0,0,0.0,0.0
65,Jahan Dotson,WAS,WR,0.4,2.2,0.0,51.0,674.6,3.6,1.2,0.0,0.0,0,0.0,0.0
66,George Pickens,PIT,WR,0.4,1.8,0.0,54.0,670.9,3.6,1.2,0.0,0.0,0,0.0,0.0
67,K.J. Osborn,MIN,WR,0.2,2.0,0.0,45.5,579.0,4.6,0.4,0.0,0.0,0,0.0,0.0
68,Donovan Peoples-Jones,CLE,WR,0.0,0.0,0.0,42.9,643.5,3.5,0.4,0.0,0.0,0,0.0,0.0
69,Nico Collins,HOU,WR,0.0,0.0,0.0,50.1,659.3,3.2,0.5,0.0,0.0,0,0.0,0.0
70,Curtis Samuel,WAS,WR,16.6,91.8,0.8,44.3,502.1,3.4,0.5,0.0,0.0,0,0.0,0.0
71,Julio Jones,TB,WR,0.0,0.0,0.0,46.1,619.3,3.6,0.4,0.0,0.0,0,0.0,0.0
72,Rondale Moore,ARI,WR,17.3,99.8,0.6,53.8,528.0,2.8,0.6,0.0,0.0,0,0.0,0.0
73,Christian Watson,GB,WR,1.5,9.1,0.0,41.3,561.5,4.1,0.7,0.0,0.0,0,0.0,0.0
74,Parris Campbell,IND,WR,0.5,3.3,0.0,48.3,588.3,3.6,0.1,0.0,0.0,0,0.0,0.0
75,Joshua Palmer,LAC,WR,0.0,0.0,0.0,46.9,550.8,4.3,0.2,0.0,0.0,0,0.0,0.0
76,Randall Cobb,GB,WR,0.8,3.2,0.0,41.9,536.7,4.2,0.5,0.0,0.0,0,0.0,0.0
77,Kendrick Bourne,NE,WR,6.4,48.2,0.1,39.0,495.3,3.5,0.5,0.0,0.0,0,0.0,0.0
78,Sterling Shepard,NYG,WR,1.0,4.2,0.0,53.5,550.9,2.9,0.4,0.0,0.0,0,0.0,0.0
79,Alec Pierce,IND,WR,0.0,0.0,0.0,37.3,506.3,3.5,0.3,0.0,0.0,0,0.0,0.0
80,KJ Hamler,DEN,WR,3.1,20.6,0.0,39.4,509.5,3.0,0.1,0.0,0.0,0,0.0,0.0
81,Nick Westbrook-Ikhine,TEN,WR,0.0,0.0,0.0,39.7,498.5,3.6,0.5,0.0,0.0,0,0.0,0.0
82,Jameson Williams,DET,WR,0.4,2.2,0.0,38.3,526.0,3.1,0.6,0.0,0.0,0,0.0,0.0
83,A.J. Green,ARI,WR,0.0,0.0,0.0,36.4,523.5,2.6,0.1,0.0,0.0,0,0.0,0.0
84,Bryan Edwards,ATL,WR,0.2,1.4,0.0,35.8,522.7,2.6,0.1,0.0,0.0,0,0.0,0.0
85,Devin Duvernay,BAL,WR,4.9,34.0,0.1,41.4,469.3,2.7,0.2,0.0,0.0,0,0.0,0.0
86,Wan'Dale Robinson,NYG,WR,5.7,33.3,0.1,41.4,468.0,2.6,0.3,0.0,0.0,0,0.0,0.0
87,Jamison Crowder,BUF,WR,2.2,14.0,0.2,43.1,450.5,3.1,0.5,0.0,0.0,0,0.0,0.0
88,Zay Jones,JAC,WR,0.4,0.6,0.0,41.7,488.9,2.7,0.4,0.0,0.0,0,0.0,0.0
89,Byron Pringle,CHI,WR,0.0,0.0,0.0,37.3,469.8,2.8,0.2,0.0,0.0,0,0.0,0.0
90,Cedrick Wilson Jr.,MIA,WR,0.6,1.6,0.0,38.2,457.5,3.1,0.5,0.0,0.0,0,0.0,0.0
91,Romeo Doubs,GB,WR,0.4,2.4,0.0,33.6,445.5,3.3,1.1,0.0,0.0,0,0.0,0.0
92,Laviska Shenault Jr.,JAC,WR,10.5,52.1,0.3,39.2,410.7,2.5,0.4,0.0,0.0,0,0.0,0.0
93,Sammy Watkins,GB,WR,0.6,3.5,0.0,34.2,453.6,2.6,0.4,0.0,0.0,0,0.0,0.0
94,James Washington,DAL,WR,0.4,2.4,0.0,26.9,396.7,3.3,0.1,0.0,0.0,0,0.0,0.0
95,Chris Conley,HOU,WR,0.0,0.0,0.0,33.8,430.2,2.2,0.2,0.0,0.0,0,0.0,0.0
96,Nelson Agholor,NE,WR,1.5,7.5,0.0,29.6,406.2,2.4,0.1,0.0,0.0,0,0.0,0.0
97,Velus Jones Jr.,CHI,WR,1.0,6.3,0.0,31.6,406.9,2.5,0.3,0.0,0.0,0,0.0,0.0
98,Braxton Berrios,NYJ,WR,5.2,31.4,0.9,35.2,354.7,2.0,0.5,0.0,0.0,0,0.0,0.0
99,Olamide Zaccheaus,ATL,WR,0.4,1.8,0.0,29.6,380.4,2.2,0.1,0.0,0.0,0,0.0,0.0
100,Terrace Marshall Jr.,CAR,WR,0.0,0.0,0.0,29.8,369.5,2.3,0.1,0.0,0.0,0,0.0,0.0
101,Isaiah McKenzie,BUF,WR,6.8,40.2,0.3,29.8,295.5,2.2,0.2,0.0,0.0,0,0.0,0.0
102,Jauan Jennings,SF,WR,0.0,0.0,0.0,28.6,325.3,2.6,0.1,0.0,0.0,0,0.0,0.0
103,David Bell,CLE,WR,1.2,8.8,0.0,28.5,357.0,1.9,0.6,0.0,0.0,0,0.0,0.0
104,Quez Watkins,PHI,WR,0.0,0.0,0.0,25.6,355.1,1.8,0.0,0.0,0.0,0,0.0,0.0
105,Jalen Guyton,LAC,WR,4.4,25.9,0.1,21.5,312.3,2.0,0.1,0.0,0.0,0,0.0,0.0
106,Dee Eskridge,SEA,WR,4.3,29.1,0.1,24.2,311.7,1.5,0.3,0.0,0.0,0,0.0,0.0
107,Keelan Cole Sr.,LV,WR,0.0,0.2,0.0,22.4,312.5,1.9,0.0,0.0,0.0,0,0.0,0.0
108,Demarcus Robinson,BAL,WR,0.0,0.0,0.0,26.2,305.8,2.0,0.1,0.0,0.0,0,0.0,0.0
109,James Proche II,BAL,WR,0.0,0.0,0.0,26.0,311.6,1.8,0.1,0.0,0.0,0,0.0,0.0
110,Amari Rodgers,GB,WR,1.5,9.4,0.0,23.6,307.8,1.8,0.4,0.0,0.0,0,0.0,0.0
111,Freddie Swain,SEA,WR,0.5,3.0,0.0,25.3,303.1,1.8,0.1,0.0,0.0,0,0.0,0.0
112,Marquez Callaway,NO,WR,1.8,10.6,0.1,17.6,258.6,1.7,0.0,0.0,0.0,0,0.0,0.0
113,Josh Reynolds,DET,WR,0.0,0.0,0.0,20.3,275.8,1.6,0.1,0.0,0.0,0,0.0,0.0
114,Phillip Dorsett II,HOU,WR,0.5,3.3,0.0,20.6,251.3,1.2,0.1,0.0,0.0,0,0.0,0.0
115,Rashard Higgins,CAR,WR,0.3,2.7,0.0,17.8,240.4,1.3,0.1,0.0,0.0,0,0.0,0.0
116,Tylan Wallace,BAL,WR,0.0,0.0,0.0,16.0,207.9,1.3,0.1,0.0,0.0,0,0.0,0.0
117,Laquon Treadwell,JAC,WR,0.0,0.0,0.0,15.9,211.6,1.3,0.0,0.0,0.0,0,0.0,0.0
118,Darius Slayton,NYG,WR,0.3,-2.5,0.0,16.1,218.8,1.2,0.4,0.0,0.0,0,0.0,0.0
119,Anthony Schwartz,CLE,WR,1.1,6.8,0.0,14.8,196.4,1.3,0.1,0.0,0.0,0,0.0,0.0
120,Quintez Cephus,DET,WR,0.0,0.0,0.0,13.2,181.3,1.5,0.0,0.0,0.0,0,0.0,0.0
121,Keke Coutee,IND,WR,0.0,0.0,0.0,15.1,194.3,1.2,0.0,0.0,0.0,0,0.0,0.0
122,Ben Skowronek,LAR,WR,0.0,0.0,0.0,15.1,185.0,1.3,0.0,0.0,0.0,0,0.0,0.0
123,Jamal Agnew,JAC,WR,8.6,56.3,0.4,12.0,135.8,0.7,0.1,0.0,0.0,0,0.0,0.0
124,Noah Brown,DAL,WR,0.0,0.0,0.0,14.3,174.7,1.2,0.1,0.0,0.0,0,0.0,0.0
125,Equanimeous St. Brown,CHI,WR,0.0,0.0,0.0,13.4,183.4,0.9,0.1,0.0,0.0,0,0.0,0.0
126,Montrell Washington,DEN,WR,0.0,0.0,0.0,13.0,174.0,1.0,0.0,0.0,0.0,0,0.0,0.0
127,Dyami Brown,WAS,WR,0.0,0.0,0.0,11.7,180.4,0.9,0.0,0.0,0.0,0,0.0,0.0
128,Chris Moore,HOU,WR,0.0,0.0,0.0,16.2,175.7,0.9,0.0,0.0,0.0,0,0.0,0.0
129,Dez Fitzpatrick,TEN,WR,0.0,0.0,0.0,12.8,170.4,0.9,0.0,0.0,0.0,0,0.0,0.0
130,Ty Montgomery,NE,WR,9.7,56.9,0.5,11.0,103.9,0.6,0.0,0.0,0.0,0,0.0,0.0
131,Damiere Byrd,ATL,WR,0.0,0.0,0.0,14.1,167.4,0.8,0.1,0.0,0.0,0,0.0,0.0
132,Zach Pascal,PHI,WR,0.3,1.8,0.0,11.6,147.3,1.1,0.0,0.0,0.0,0,0.0,0.0
133,Kalif Raymond,DET,WR,0.7,4.2,0.0,12.5,150.5,1.0,0.0,0.0,0.0,0,0.0,0.0
134,Calvin Austin III,PIT,WR,0.0,0.0,0.0,15.3,180.4,0.6,0.1,0.0,0.0,0,0.0,0.0
135,Chester Rogers,HOU,WR,0.0,0.0,0.0,14.4,161.2,0.8,0.0,0.0,0.0,0,0.0,0.0
136,Erik Ezukanma,MIA,WR,0.0,0.0,0.0,10.9,149.1,1.0,0.1,0.0,0.0,0,0.0,0.0
137,Ray-Ray McCloud,SF,WR,0.0,0.0,0.0,12.4,142.4,0.8,0.0,0.0,0.0,0,0.0,0.0
138,Ihmir Smith-Marsette,MIN,WR,0.0,0.0,0.0,11.4,141.6,0.8,0.1,0.0,0.0,0,0.0,0.0
139,Breshad Perriman,TB,WR,0.0,0.0,0.0,9.3,133.0,0.9,0.0,0.0,0.0,0,0.0,0.0
140,Antoine Wesley,ARI,WR,0.0,0.0,0.0,11.0,135.6,0.9,0.0,0.0,0.0,0,0.0,0.0
141,Cody Hollister,TEN,WR,0.0,0.0,0.0,11.3,133.2,0.9,0.0,0.0,0.0,0,0.0,0.0
142,Cam Sims,WAS,WR,0.0,0.0,0.0,10.0,139.3,0.8,0.0,0.0,0.0,0,0.0,0.0
143,Mack Hollins,LV,WR,0.3,0.0,0.0,9.1,120.0,1.0,0.0,0.0,0.0,0,0.0,0.0
144,Lynn Bowden Jr.,MIA,WR,2.3,14.3,0.1,11.2,116.1,0.6,0.0,0.0,0.0,0,0.0,0.0
145,Ja'Marcus Bradley,CLE,WR,0.0,0.0,0.0,9.9,126.7,0.7,0.0,0.0,0.0,0,0.0,0.0
146,Kristian Wilkerson,NE,WR,0.0,0.0,0.0,10.1,117.7,0.8,0.0,0.0,0.0,0,0.0,0.0
147,Tutu Atwell,LAR,WR,0.0,0.0,0.0,8.8,110.6,0.8,0.1,0.0,0.0,0,0.0,0.0
148,Ashton Dulin,IND,WR,1.2,7.5,0.1,8.1,106.9,0.6,0.1,0.0,0.0,0,0.0,0.0
149,Tyler Johnson,TB,WR,0.0,0.0,0.0,9.6,109.4,0.7,0.0,0.0,0.0,0,0.0,0.0
150,Trent Sherfield,MIA,WR,0.0,0.0,0.0,8.7,110.1,0.6,0.0,0.0,0.0,0,0.0,0.0
151,Tyquan Thornton,NE,WR,0.0,0.0,0.0,8.7,102.5,0.7,0.1,0.0,0.0,0,0.0,0.0
152,Richie James Jr.,NYG,WR,0.0,0.0,0.0,8.0,100.2,0.5,0.1,0.0,0.0,0,0.0,0.0
153,Samori Toure,GB,WR,0.0,0.0,0.0,6.8,80.6,0.7,0.0,0.0,0.0,0,0.0,0.0
154,Brandon Zylstra,CAR,WR,0.0,0.0,0.0,7.6,95.7,0.5,0.1,0.0,0.0,0,0.0,0.0
155,Juwann Winfree,GB,WR,0.0,0.0,0.0,7.2,83.8,0.6,0.0,0.0,0.0,0,0.0,0.0
156,KhaDarel Hodge,ATL,WR,0.0,0.0,0.0,6.2,91.2,0.5,0.0,0.0,0.0,0,0.0,0.0
157,Jeff Smith,NYJ,WR,0.0,0.0,0.0,6.7,90.3,0.5,0.0,0.0,0.0,0,0.0,0.0
158,Danny Gray,SF,WR,0.0,0.0,0.0,7.8,90.6,0.5,0.1,0.0,0.0,0,0.0,0.0
159,Penny Hart,SEA,WR,0.0,0.0,0.0,8.0,85.2,0.5,0.0,0.0,0.0,0,0.0,0.0
160,Simi Fehoko,DAL,WR,0.0,0.0,0.0,6.2,82.1,0.5,0.0,0.0,0.0,0,0.0,0.0
161,Khalil Shakir,BUF,WR,0.7,4.0,0.0,6.6,78.2,0.5,0.0,0.0,0.0,0,0.0,0.0
162,Preston Williams,MIA,WR,0.0,0.0,0.0,6.7,79.2,0.5,0.0,0.0,0.0,0,0.0,0.0
163,Auden Tate,ATL,WR,0.0,0.0,0.0,6.2,80.0,0.5,0.0,0.0,0.0,0,0.0,0.0
164,Miles Boykin,PIT,WR,0.0,0.0,0.0,6.5,80.6,0.5,0.0,0.0,0.0,0,0.0,0.0
165,Jalen Reagor,PHI,WR,3.1,17.1,0.1,5.7,61.8,0.4,0.1,0.0,0.0,0,0.0,0.0
166,Deonte Harty,NO,WR,1.3,11.0,0.0,4.7,63.9,0.5,0.0,0.0,0.0,0,0.0,0.0
167,Marcus Johnson,SF,WR,0.0,0.0,0.0,6.0,73.9,0.5,0.0,0.0,0.0,0,0.0,0.0
168,Kendall Hinton,DEN,WR,0.0,0.0,0.0,5.2,77.2,0.5,0.0,0.0,0.0,0,0.0,0.0
169,Christian Blake,PIT,WR,0.0,0.0,0.0,6.8,76.7,0.5,0.0,0.0,0.0,0,0.0,0.0
170,N'Keal Harry,CHI,WR,0.0,0.0,0.0,6.2,80.1,0.4,0.0,0.0,0.0,0,0.0,0.0
171,Tre'Quan Smith,NO,WR,0.0,0.0,0.0,6.6,70.8,0.5,0.0,0.0,0.0,0,0.0,0.0
172,Dezmon Patmon,IND,WR,0.0,0.0,0.0,5.4,67.3,0.5,0.0,0.0,0.0,0,0.0,0.0
173,T.J. Vasher,DAL,WR,0.0,0.0,0.0,5.6,64.9,0.6,0.0,0.0,0.0,0,0.0,0.0
174,Kyle Philips,TEN,WR,0.0,0.0,0.0,7.2,82.6,0.3,0.0,0.0,0.0,0,0.0,0.0
175,Tajae Sharpe,CHI,WR,0.0,0.0,0.0,5.9,71.4,0.4,0.0,0.0,0.0,0,0.0,0.0
176,Racey McMath,TEN,WR,0.0,0.0,0.0,5.4,70.9,0.4,0.0,0.0,0.0,0,0.0,0.0
177,Mike Strachan,IND,WR,0.0,0.0,0.0,5.8,68.2,0.5,0.0,0.0,0.0,0,0.0,0.0
178,Andre Roberts,CAR,WR,0.0,0.0,0.0,4.2,71.2,0.3,0.0,0.0,0.0,0,0.0,0.0
179,DeAndre Carter,LAC,WR,0.0,0.0,0.0,5.4,64.8,0.4,0.0,0.0,0.0,0,0.0,0.0
180,Greg Ward,PHI,WR,0.0,0.0,0.0,5.3,61.7,0.4,0.0,0.0,0.0,0,0.0,0.0
181,Marquise Goodwin,SEA,WR,0.0,0.0,0.0,4.8,67.1,0.3,0.0,0.0,0.0,0,0.0,0.0
182,Nsimba Webster,CHI,WR,0.0,0.0,0.0,3.0,65.1,0.3,0.0,0.0,0.0,0,0.0,0.0
183,Javon Wims,CLE,WR,0.0,0.0,0.0,5.9,59.3,0.3,0.0,0.0,0.0,0,0.0,0.0
184,Trent Taylor,CIN,WR,0.0,0.0,0.0,4.6,56.4,0.4,0.0,0.0,0.0,0,0.0,0.0
185,Seth Williams,DEN,WR,0.0,0.0,0.0,4.4,55.3,0.4,0.0,0.0,0.0,0,0.0,0.0
186,C.J. Board,NYG,WR,0.0,0.0,0.0,3.5,56.1,0.3,0.0,0.0,0.0,0,0.0,0.0
187,Mohamed Sanu Sr.,MIA,WR,0.0,0.0,0.0,5.8,54.2,0.4,0.0,0.0,0.0,0,0.0,0.0
188,Matthew Slater,NE,WR,0.0,0.0,0.0,1.9,62.5,0.2,0.0,0.0,0.0,0,0.0,0.0
189,Mike Thomas,CIN,WR,0.0,0.0,0.0,4.6,55.3,0.3,0.0,0.0,0.0,0,0.0,0.0
190,Tyrie Cleveland,DEN,WR,0.0,0.0,0.0,3.5,53.6,0.3,0.0,0.0,0.0,0,0.0,0.0
191,Jaelon Darden,TB,WR,0.0,0.0,0.0,4.0,52.6,0.3,0.0,0.0,0.0,0,0.0,0.0
192,Cyril Grayson Jr.,TB,WR,0.0,0.0,0.0,3.9,47.2,0.4,0.0,0.0,0.0,0,0.0,0.0
193,Stanley Morgan Jr.,CIN,WR,0.0,0.0,0.0,4.5,50.6,0.2,0.0,0.0,0.0,0,0.0,0.0
194,Malik Taylor,GB,WR,0.0,0.0,0.0,3.6,43.2,0.3,0.0,0.0,0.0,0,0.0,0.0
195,Greg Dortch,ARI,WR,0.0,0.0,0.0,3.6,47.4,0.3,0.0,0.0,0.0,0,0.0,0.0
196,Marquez Stevenson,BUF,WR,0.0,0.0,0.0,3.6,40.7,0.3,0.0,0.0,0.0,0,0.0,0.0
197,Bisi Johnson,MIN,WR,0.0,0.0,0.0,4.5,42.8,0.3,0.0,0.0,0.0,0,0.0,0.0
198,Trenton Irwin,CIN,WR,0.0,0.0,0.0,3.5,39.8,0.3,0.0,0.0,0.0,0,0.0,0.0
199,Lil'Jordan Humphrey,NE,WR,0.0,0.0,0.0,3.4,42.6,0.3,0.0,0.0,0.0,0,0.0,0.0
200,Jalen Nailor,MIN,WR,0.0,0.0,0.0,3.4,39.9,0.3,0.0,0.0,0.0,0,0.0,0.0
201,Easop Winston Jr.,CLE,WR,0.0,0.0,0.0,1.7,43.6,0.2,0.0,0.0,0.0,0,0.0,0.0
202,Shi Smith,CAR,WR,0.0,0.0,0.0,3.3,40.7,0.2,0.0,0.0,0.0,0,0.0,0.0
203,Devin Funchess,DET,WR,0.0,0.0,0.0,3.0,39.0,0.2,0.0,0.0,0.0,0,0.0,0.0
204,Dax Milne,WAS,WR,0.0,0.0,0.0,3.3,38.6,0.2,0.0,0.0,0.0,0,0.0,0.0
205,Dennis Houston,DAL,WR,0.0,0.0,0.0,5.0,52.0,0.0,0.0,0.0,0.0,0,0.0,0.0
206,Dante Pettis,CHI,WR,0.0,0.0,0.0,2.9,40.9,0.2,0.0,0.0,0.0,0,0.0,0.0
207,Steven Sims Jr.,PIT,WR,0.0,0.0,0.0,3.7,38.5,0.2,0.0,0.0,0.0,0,0.0,0.0
208,Denzel Mims,NYJ,WR,0.0,0.0,0.0,3.0,37.9,0.2,0.0,0.0,0.0,0,0.0,0.0
209,KeeSean Johnson,ATL,WR,0.0,0.0,0.0,3.0,31.0,0.3,0.0,0.0,0.0,0,0.0,0.0
210,Keelan Doss,NYG,WR,0.0,0.0,0.0,3.6,39.8,0.2,0.0,0.0,0.0,0,0.0,0.0
211,Tyron Johnson,LV,WR,0.0,0.0,0.0,2.4,37.0,0.2,0.0,0.0,0.0,0,0.0,0.0
212,Scotty Miller,TB,WR,0.0,0.0,0.0,2.8,35.2,0.2,0.0,0.0,0.0,0,0.0,0.0
213,David Sills V,NYG,WR,0.0,0.0,0.0,3.5,38.9,0.2,0.0,0.0,0.0,0,0.0,0.0
214,Isaiah Coulter,CHI,WR,0.0,0.0,0.0,3.0,38.9,0.2,0.0,0.0,0.0,0,0.0,0.0
215,Jason Moore Jr.,LAC,WR,0.0,0.0,0.0,2.8,34.2,0.3,0.0,0.0,0.0,0,0.0,0.0
216,Andy Isabella,ARI,WR,0.0,0.0,0.0,2.1,36.4,0.2,0.0,0.0,0.0,0,0.0,0.0
217,Collin Johnson,NYG,WR,0.0,0.0,0.0,2.2,37.7,0.2,0.0,0.0,0.0,0,0.0,0.0
218,Trinity Benson,DET,WR,0.0,0.0,0.0,3.0,36.8,0.2,0.0,0.0,0.0,0,0.0,0.0
219,Geronimo Allison,ATL,WR,0.0,0.0,0.0,3.1,35.3,0.2,0.0,0.0,0.0,0,0.0,0.0
220,Cameron Batson,ATL,WR,0.0,0.0,0.0,3.2,35.2,0.2,0.0,0.0,0.0,0,0.0,0.0
221,Cody Thompson,SEA,WR,0.0,0.0,0.0,3.2,34.9,0.2,0.0,0.0,0.0,0,0.0,0.0
222,Travis Fulgham,GB,WR,0.0,0.0,0.0,2.1,28.6,0.2,0.0,0.0,0.0,0,0.0,0.0
223,Gunner Olszewski,PIT,WR,0.0,0.0,0.0,2.4,29.1,0.2,0.0,0.0,0.0,0,0.0,0.0
224,Brandon Powell,LAR,WR,0.0,0.0,0.0,1.7,29.1,0.2,0.0,0.0,0.0,0,0.0,0.0
225,Josh Gordon,KC,WR,0.0,0.0,0.0,1.7,26.0,0.2,0.0,0.0,0.0,0,0.0,0.0
226,Malik Turner,SF,WR,0.0,0.0,0.0,2.0,24.4,0.2,0.0,0.0,0.0,0,0.0,0.0
227,Bo Melton,SEA,WR,0.0,0.0,0.0,2.8,32.3,0.1,0.0,0.0,0.0,0,0.0,0.0
228,Joe Reed,LAC,WR,0.0,0.0,0.0,1.4,28.4,0.1,0.0,0.0,0.0,0,0.0,0.0
229,Jake Kumerow,BUF,WR,0.0,0.0,0.0,1.9,23.8,0.2,0.0,0.0,0.0,0,0.0,0.0
230,Daurice Fountain,KC,WR,0.0,0.0,0.0,1.1,21.9,0.1,0.0,0.0,0.0,0,0.0,0.0
231,Tre Nixon,NE,WR,0.0,0.0,0.0,1.7,19.2,0.1,0.0,0.0,0.0,0,0.0,0.0
232,Frank Darby,ATL,WR,0.0,0.0,0.0,1.6,18.0,0.1,0.0,0.0,0.0,0,0.0,0.0
233,J.J. Arcega-Whiteside,SEA,WR,0.0,0.0,0.0,1.5,17.0,0.1,0.0,0.0,0.0,0,0.0,0.0
234,Alex Erickson,WAS,WR,0.0,0.0,0.0,0.2,15.8,0.0,0.0,0.0,0.0,0,0.0,0.0
235,Justin Watson,KC,WR,0.0,0.0,0.0,0.9,10.3,0.1,0.0,0.0,0.0,0,0.0,0.0
236,Juwan Johnson,NO,WR,0.0,0.0,0.0,1.0,9.5,0.1,0.0,0.0,0.0,0,0.0,0.0
237,Rico Gafford,GB,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
238,River Cracraft,MIA,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
239,Dan Chisena,MIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
240,Deon Cain,PHI,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
241,Willie Snead IV,SF,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
242,Lawrence Cager,NYJ,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
243,Kevin White,NO,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
244,Kelvin Harmon,WAS,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
245,Corey Coleman,KC,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
246,Tanner Gentry,BUF,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
247,Tom Kennedy,DET,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
248,John Hightower,PHI,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
249,Isaiah Zuber,LV,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
250,Slade Bolden,BAL,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
251,0,0,WR,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
252,0,0,WR,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Josh Allen,BUF,QB,116.5,662.3,6.9,0.0,0,0.0,3.5,607.5,390.2,"4,406.8",34.6,13.9
2,Patrick Mahomes II,KC,QB,66.5,360.0,2.8,0.0,0,0.0,2.8,634.4,418.0,"4,845.1",35.9,11.6
3,Justin Herbert,LAC,QB,65.1,299.6,3.2,0.0,0,0.0,1.4,625.5,415.6,"4,683.6",33.9,13.3
4,Lamar Jackson,BAL,QB,158.6,956.7,4.9,0.0,0,0.0,3.5,520.0,336.3,"3,731.5",24.5,13.2
5,Kyler Murray,ARI,QB,107.3,552.6,5.5,0.0,0,0.0,2.3,571.6,384.7,"4,263.3",27.3,12.3
